Dmel_CG43398	scrib	K16175	scribbled
Dmel_CG7563	CalpA	K08585	Calpain-A
Dmel_CG9882	Art7	K11438	Arginine methyltransferase 7 
Dmel_CG9881	Arpc5	K05754	Actin-related protein 2/3 complex, subunit 5
Dmel_CG9880	Or23a	K08471	Odorant receptor 23a
Dmel_CG9887	VGlut	K12302	Vesicular glutamate transporter
Dmel_CG9885	dpp	K04662	decapentaplegic
Dmel_CG6755	EloA	K15076	Elongin A
Dmel_CG9388	AP-1mu	K12393	Adaptor Protein complex 1, mu subunit
2448	FucT6	K00717	alpha1,6-fucosyltransferase 
Dmel_CG12876	ALiX	K12200	ALG-2 interacting protein X
Dmel_CG7610	ATPsyn-gamma	K02136	ATP synthase-gamma chain 
Dmel_CG2092	scra	K18621	scraps
32882	snRNA:U2:38ABa	K14277	small nuclear RNA U2 at 38ABa
Dmel_CR33408	5SrRNA:CR33408	K01981	5S ribosomal RNA
Dmel_CR33409	5SrRNA:CR33409	K01981	5S ribosomal RNA
Dmel_CG10653	hk	K16536	hook
Dmel_CG10652	RpL30	K02908	Ribosomal protein L30
Dmel_CG10655	l(2)37Bb	K18166	lethal (2) 37Bb 
Dmel_CG5378	Rpn7	K03037	Regulatory particle non-ATPase 7
Dmel_CG11780	beta4GalT7	K00733	beta-4-galactosyltransferase 7 
Dmel_CR33401	5SrRNA:CR33401	K01981	5S ribosomal RNA
Dmel_CG30361	mtt	K04611	mangetout
Dmel_CG11783	Hr96	K14035	Hormone receptor-like in 96
Dmel_CG5371	RnrL	K10807	Ribonucleoside diphosphate reductase large subunit 
Dmel_CG5370	Dcp-1	K04489	Death caspase-1 
Dmel_CG5373	Pi3K59F	K00914	Phosphotidylinositol 3 kinase 59F 
Dmel_CR33407	5SrRNA:CR33407	K01981	5S ribosomal RNA
Dmel_CG1977	alpha-Spec	K06114	alpha Spectrin
9359	betaTub85D	K07375	beta-Tubulin at 85D
4128	nAChRalpha6	K05312	nicotinic Acetylcholine Receptor alpha6
Dmel_CG4750	loopin-1	K01255	CG4750 gene product from transcript CG4750-RC 
Dmel_CG18102	shi	K01528	shibire
4122	svr	K07752	silver 
4120	Cyp12c1	K15004	CG4120 gene product from transcript CG4120-RB 
Dmel_CG11274	SRm160	K13171	CG11274 gene product from transcript CG11274-RA
Dmel_CG4759	RpL27	K02901	Ribosomal protein L27
Dmel_CG11276	RpS4	K02987	Ribosomal protein S4
12072	wts	K08791	warts 
Dmel_CG12275	RpS10a	K02947	Ribosomal protein S10a
31005	qless	K12504	CG31005 gene product from transcript CG31005-RA
Dmel_CG34440	lmgA	K03358	lemming A
Dmel_CG12276	Aos1	K10684	CG12276 gene product from transcript CG12276-RA
Dmel_CG43073	Rbp	K17591	RIM-binding protein
5685	Calx	K05849	Na/Ca-exchange protein
Dmel_CG9088	lid	K11446	little imaginal discs 
7438	Myo31DF	K10356	Myosin 31DF 
5680	bsk	K04440	basket 
Dmel_CG3044	Cht11	K01183	CG3044 gene product from transcript CG3044-RA 
32593	Flo2	K07192	Flotillin 2
Dmel_CG10067	Act57B	K05692	Actin 57B
Dmel_CG5818	mRpL4	K02926	mitochondrial ribosomal protein L4
Dmel_CG8315	Pex11	K13352	Peroxin 11
Dmel_CG2998	RpS28b	K02979	Ribosomal protein S28b
Dmel_CG14206	RpS10b	K02947	Ribosomal protein S10b
12306	polo	K06631	CG12306 gene product from transcript CG12306-RA 
Dmel_CG3415	Mfe2	K12405	peroxisomal Multifunctional enzyme type 2 
Dmel_CG10018	Snm1	K15340	CG10018 gene product from transcript CG10018-RA 
6672	ZnT86D	K14692	Zinc transporter 86D
Dmel_CG33503	Cyp12d1-d	K15004	CG33503 gene product from transcript CG33503-RA 
Dmel_CG2995	G9a	K11420	CG2995 gene product from transcript CG2995-RB 
8286	P58IPK	K09523	CG8286 gene product from transcript CG8286-RA
43756	Slob	K17543	Slowpoke binding protein
Dmel_CG14542	Vps2	K12191	Vacuolar protein sorting 2
4494	smt3	K12160	CG4494 gene product from transcript CG4494-RA
Dmel_CG11092	Nup93-1	K14309	Nucleoporin 93kD-1
Dmel_CG10255	Lap1	K01768	CG10255 gene product from transcript CG10255-RB
2028	CkIalpha	K08957	Casein kinase Ialpha 
Dmel_CG15377	Or22c	K08471	Odorant receptor 22c
Dmel_CG10061	Sas-4	K11502	Spindle assembly abnormal 4 ortholog (C. elegans)
Dmel_CG15371	Gr8a	K08471	Gustatory receptor 8a
Dmel_CG10250	nau	K18484	nautilus
4059	ftz-f1	K08705	ftz transcription factor 1
6850	Ugt	K11718	UDP-glucose-glycoprotein glucosyltransferase 
Dmel_CG11305	Sirt7	K11417	CG11305 gene product from transcript CG11305-RA
Dmel_CG11874	alpha-Man-Ib	K01230	alpha Mannosidase Ib 
Dmel_CG11875	Nup37	K14302	Nucleoporin 37kD
Dmel_CG11301	Mes4	K03506	Mesoderm-expressed 4 
Dmel_CG1559	Upf1	K14326	CG1559 gene product from transcript CG1559-RA
10861	Atg12	K08336	Autophagy-specific gene 12
Dmel_CG11654	Ahcy13	K01251	Adenosylhomocysteinase at 13 
5974	pll	K04730	pelle 
7070	PyK	K00873	Pyruvate kinase 
Dmel_CG32505	Pp4-19C	K15423	Protein phosphatase 19C 
6647	porin	K15040	CG6647 gene product from transcript CG6647-RB
3615	Atg9	K17907	Autophagy-specific gene 9
3616	Cyp9c1	K15003	Cytochrome P450-9c1 
Dmel_CG15552	Sox100B	K09270	CG15552 gene product from transcript CG15552-RA
3619	Dl	K06051	Delta
Dmel_CG17200	Ugt86Dg	K00699	CG17200 gene product from transcript CG17200-RB 
5771	Rab11	K07904	CG5771 gene product from transcript CG5771-RA
Dmel_CG2194	su(r)	K00207	suppressor of rudimentary 
Dmel_CG11895	stan	K04600	starry night
Dmel_CG3318	Dat	K00669	Dopamine N acetyltransferase 
Dmel_CG5408	trbl	K08814	tribbles 
Dmel_CG33323	Fer1	K09073	48 related 1
Dmel_CG40351	Set1	K11422	CG40351 gene product from transcript CG40351-RF 
Dmel_CG1957	Cpsf100	K14402	Cleavage and polyadenylation specificity factor 100 
Dmel_CG2358	twr	K13280	twisted bristles roughened eye 
Dmel_CG7961	alphaCOP	K05236	Coat Protein (coatomer) alpha
Dmel_CG15154	Socs36E	K04700	Suppressor of cytokine signaling at 36E
Dmel_CG10882	Sec24CD	K14007	Sec24CD ortholog (H. sapiens)
Dmel_CG4070	Tis11	K15308	Tis11 homolog
33851	His3:CG33851	K11253	CG33851 gene product from transcript CG33851-RA
Dmel_CG14156	Or67c	K08471	Odorant receptor 67c
Dmel_CG14157	Or67d	K08471	Odorant receptor 67d
17336	Lcch3	K05181	Ligand-gated chloride channel homolog 3
4353	hep	K04431	hemipterous 
17331	Prosbeta4	K02734	Proteasome beta4 subunit 
18374	Gyk	K00864	Glycerol kinase 
Dmel_CR32913	snRNA:U2:14B	K14277	small nuclear RNA U2 at 14B
Dmel_CG7749	kug	K16506	kugelei
7923	Fad2	K00507	CG7923 gene product from transcript CG7923-RA 
7297	pgant8	K00710	polypeptide GalNAc transferase 8 
Dmel_CG10263	Hakai	K15685	CG10263 gene product from transcript CG10263-RE 
Dmel_CG17336	Lcch3	K05181	Ligand-gated chloride channel homolog 3
4443	crl	K04555	courtless 
1864	Hr38	K08558	Hormone receptor-like in 38
Dmel_CG17331	Prosbeta4	K02734	Proteasome beta4 subunit 
Dmel_CG17330	jhamt	K10718	juvenile hormone acid methyltransferase
Dmel_CG33991	nuf	K12485	nuclear fallout
Dmel_CG7969	Menl-2	K00029	Malic enzyme like-2 
Dmel_CG33182	Kdm4B	K06709	Histone demethylase 4B 
Dmel_CG33183	Hr46	K14033	Hormone receptor-like in 46
Dmel_CG8846	Thor	K18644	CG8846 gene product from transcript CG8846-RA
Dmel_CG5889	Men-b	K00029	Malic enzyme b 
31322	Aats-met	K01874	Methionyl-tRNA synthetase 
6298	Jon74E	K01310	Jonah 74E 
6297	JIL-1	K04445	CG6297 gene product from transcript CG6297-RC 
17759	Galphaq	K04634	G protein alpha q subunit
Dmel_CG41534	Pp1-Y1	K06269	CG41534 gene product from transcript CG41534-RC 
Dmel_CG8849	mRpL24	K02895	mitochondrial ribosomal protein L24
6291	ApepP	K01262	Aminopeptidase P 
Dmel_CG10325	abd-A	K09311	abdominal A
11734	HERC2	K10595	HECT and RLD domain containing protein 2 ortholog (H. sapiens) 
Dmel_CG15793	Dsor1	K04368	Downstream of raf1 
Dmel_CG15792	zip	K10352	zipper 
2103	pgant6	K00710	polypeptide GalNAc transferase 6 
Dmel_CG6764	RpL24-like	K02896	Ribosomal protein L24-like
Dmel_CG11765	Prx2540-2	K00430	Peroxiredoxin 2540-2 
Dmel_CG10328	nonA-l	K13219	nonA-like
2105	Corin	K09614	CG2105 gene product from transcript CG2105-RC 
Dmel_CG3751	RpS24	K02974	Ribosomal protein S24
Dmel_CG3022	GABA-B-R3	K04615	metabotropic GABA-B receptor subtype 3
Dmel_CG6501	Ns2	K14537	Nucleostemin ortholog (H. sapiens) 2
Dmel_CG3752	Aldh	K00128	Aldehyde dehydrogenase 
Dmel_CG16792	SmF	K11098	Small ribonucleoprotein particle protein SmF
Dmel_CG7581	Bub3	K02180	CG7581 gene product from transcript CG7581-RB
Dmel_CG3025	mof	K11308	males absent on the first 
Dmel_CG9081	Cyp4s3	K15001	CG9081 gene product from transcript CG9081-RA 
Dmel_CG3758	esg	K09218	escargot
Dmel_CG31362	Jon99Ciii	K01310	Jonah 99Ciii 
Dmel_CG3028	Ipp	K01107	Inositol polyphosphate 1-phosphatase 
Dmel_CG6050	EfTuM	K02358	Elongation factor Tu mitochondrial
Dmel_CG31366	Hsp70Aa	K03283	Heat-shock-protein-70Aa
Dmel_CG8900	RpS18	K02964	Ribosomal protein S18
Dmel_CG6871	Cat	K03781	Catalase 
17060	Rab10	K07903	CG17060 gene product from transcript CG17060-RA
Dmel_CG8905	Sod2	K04564	Superoxide dismutase 2 (Mn) 
Dmel_CG6876	Prp31	K12844	CG6876 gene product from transcript CG6876-RA
Dmel_CG6875	asp	K16743	abnormal spindle
17064	mars	K16804	CG17064 gene product from transcript CG17064-RD
6504	Pkd2	K04986	Polycystic kidney disease 2 ortholog (H. sapiens)
Dmel_CG10923	Klp67A	K10401	Kinesin-like protein at 67A
Dmel_CR33353	5SrRNA:CR33353	K01981	5S ribosomal RNA
1560	mys	K05719	myospheroid
Dmel_CG17023	Dbp80	K18655	Dead box protein 80 
Dmel_CG7454	Or85a	K08471	Odorant receptor 85a
Dmel_CG7452	Syx17	K08491	Syntaxin 17
Dmel_CG1886	ATP7	K17686	CG1886 gene product from transcript CG1886-RC 
Dmel_CG32697	l(1)G0232	K18038	lethal (1) G0232 
Dmel_CG13225	Or47a	K08471	Odorant receptor 47a
3431	Uch-L5	K05610	Ubiquitin carboxy-terminal hydrolase L5 ortholog 
Dmel_CG13221	Vhl	K03871	von Hippel-Lindau 
Dmel_CG6181	Ge-1	K12616	Ge-1 ortholog (H. sapiens)
12359	Ulp1	K08592	CG12359 gene product from transcript CG12359-RA 
Dmel_CG5091	gny	K03848	garnysstan 
12350	lambdaTry	K01312	CG12350 gene product from transcript CG12350-RA 
Dmel_CG33505	U3-55K	K14793	U3 small nuclear riboprotein factor 55K
42883	mir-7	K17365	mir-7 stem loop
42882	mir-31b	K17183	mir-31b stem loop
Dmel_CG42279	Nedd4	K10591	CG42279 gene product from transcript CG42279-RJ 
33338	p38c	K04441	p38c MAP kinase 
Dmel_CG1489	Rpt6	K03066	Regulatory particle triple-A ATPase 6 
Dmel_CG8384	gro	K04497	groucho
Dmel_CG32672	Atg8a	K08341	Autophagy-specific gene 8a
Dmel_CR32867	snRNA:U6:96Ab	K14280	small nuclear RNA U6 at 96Ab
Dmel_CG11919	Pex6	K13339	Peroxin 6 
5203	CHIP	K09561	CG5203 gene product from transcript CG5203-RA 
Dmel_CG3333	Nop60B	K11131	Nucleolar protein at 60B 
Dmel_CG3620	norpA	K05858	no receptor potential A 
5206	bon	K08883	bonus 
Dmel_CG8732	Acsl	K01897	Acyl-CoA synthetase long-chain 
Dmel_CG3629	Dll	K18488	Distal-less
31072	Lerp	K06564	lysosomal enzyme receptor protein
Dmel_CG6987	SF2	K12890	CG6987 gene product from transcript CG6987-RB
4938	Aats-ser	K01875	Seryl-tRNA synthetase 
Dmel_CG4832	cnn	K16718	centrosomin
3540	Cyp4d14	K15001	CG3540 gene product from transcript CG3540-RA 
Dmel_CG17158	cpb	K10365	capping protein beta
Dmel_CG6988	Pdi	K09580	Protein disulfide isomerase 
Dmel_CG8637	trc	K08790	tricornered 
Dmel_CG6691	ttm3	K17496	tiny tim 3 
7507	Dhc64C	K10413	Dynein heavy chain 64C 
Dmel_CG6697	Ublcp1	K17618	Ubiquitin-like domain-containing C-terminal domain phosphatase 1 
Dmel_CR33356	5SrRNA-Psi:CR33356	K01981	5S ribosomal RNA pseudogene
Dmel_CG13645	Nmnat	K06210	Nicotinamide mononucleotide adenylyltransferase 
Dmel_CG42273	mnb	K08825	minibrain 
Dmel_CG7056	HHEX	K07763	HHEX ortholog (H. sapiens)
Dmel_CG7057	AP-2mu	K11826	Adaptor Protein complex 2, mu subunit
11840	Spp	K09595	Signal peptide peptidase 
Dmel_CG7123	LanB1	K05636	CG7123 gene product from transcript CG7123-RA
33933	Indy-2	K14445	I'm not dead yet 2
Dmel_CG7127	Exo70	K07195	Exo70 ortholog (S. cerevisiae)
Dmel_CG7125	PKD	K06070	Protein Kinase D 
Dmel_CG4237	ArfGAP1	K12492	ADP-ribosylation factor GTPase activating protein 1
18319	ben	K10580	bendless 
1782	Uba1	K03178	Ubiquitin activating enzyme 1 
Dmel_CG4233	Got2	K14455	Glutamate oxaloacetate transaminase 2 
Dmel_CG4231	Or22b	K08471	Odorant receptor 22b
1787	Hexo2	K12373	Hexosaminidase 2 
7113	scu	K08683	scully 
Dmel_CG3938	CycE	K06626	Cyclin E 
Dmel_CG3249	spoon	K16518	spoonbill
Dmel_CG8631	msl-3	K18403	male-specific lethal 3
6877	Atg3	K08343	Autophagy-specific gene 3
Dmel_CG3242	sob	K09215	sister of odd and bowl
Dmel_CG3241	msl-2	K13164	male-specific lethal 2
Dmel_CG4803	Takl2	K04427	Tak1-like 2 
Dmel_CG3935	al	K09452	aristaless
Dmel_CG2163	Pabp2	K14396	CG2163 gene product from transcript CG2163-RA
Dmel_CG3245	PpN58A	K06269	Protein phosphatase N at 58A 
Dmel_CG3936	N	K02599	Notch
Dmel_CG9504	Eo	K10724	Ecdysone oxidase 
3017	Alas	K00643	Aminolevulinate synthase 
Dmel_CG32261	Gr64a	K08471	Gustatory receptor 64a
Dmel_CG8057	alc	K07199	alicorn 
5374	T-cp1	K09493	Tcp1-like 
Dmel_CG8055	shrb	K12194	shrub
Dmel_CG8053	eIF-1A	K03236	Eukaryotic initiation factor 1A
5370	Dcp-1	K04489	Death caspase-1 
Dmel_CG4904	Prosalpha6	K02725	Proteasome alpha6 subunit 
Dmel_CG4900	Irp-1A	K01681	Iron regulatory protein 1A 
Dmel_CG7636	mRpL2	K02886	mitochondrial ribosomal protein L2
Dmel_CG8690	Mal-A8	K01187	Maltase A8 
Dmel_CG8693	Mal-A4	K01187	Maltase A4 
Dmel_CG4909	POSH	K12171	Plenty of SH3s 
Dmel_CG8694	Mal-A2	K01187	Maltase A2 
Dmel_CG8696	Mal-A1	K01187	Maltase A1 
Dmel_CG4581	Thiolase	K07509	CG4581 gene product from transcript CG4581-RA 
Dmel_CG8276	bin3	K15190	bicoid-interacting protein 3 
Dmel_CG1063	Itp-r83A	K04958	Inositol 1,4,5,-tris-phosphate receptor
Dmel_CG8274	Mtor	K09291	Megator
Dmel_CG1065	Scsalpha	K01899	Succinyl coenzyme A synthetase alpha subunit 
Dmel_CG1064	Snr1	K11648	Snf5-related 1
8226	Tom7	K17771	Translocase of outer membrane 7
Dmel_CG4589	Letm1	K17800	LETM1 ortholog
4334	Zip88E	K14709	Zinc/iron regulated transporter-related protein 88E
1098	Madm	K08875	MLF1-adaptor molecule 
Dmel_CG8279	Pde6	K13763	Phosphodiesterase 6 
Dmel_CG12068	sro	K00019	shroud 
Dmel_CG30186	Gr59c	K08471	Gustatory receptor 59c
Dmel_CG4347	UGP	K00963	CG4347 gene product from transcript CG4347-RE 
33806	His3:CG33806	K11253	CG33806 gene product from transcript CG33806-RA
Dmel_CG1264	lab	K09301	labial
Dmel_CG17540	Spf45	K12840	CG17540 gene product from transcript CG17540-RB
Dmel_CG4349	Fer3HCH	K00522	Ferritin 3 heavy chain homologue
Dmel_CG1268	VhaM9.7-a	K02153	Vacuolar H[+] ATPase M9.7 subunit a 
Dmel_CG30189	Gr59a	K08471	Gustatory receptor 59a
Dmel_CG18591	SmE	K11097	Small ribonucleoprotein particle protein SmE
Dmel_CR33426	5SrRNA:CR33426	K01981	5S ribosomal RNA
Dmel_CG1800	pasha	K18419	partner of drosha
Dmel_CG31618	His2A:CG31618	K11251	CG31618 gene product from transcript CG31618-RA
Dmel_CG7831	ncd	K10405	non-claret disjunctional 
Dmel_CG7833	Orc5	K02607	Origin recognition complex subunit 5 
Dmel_CG7360	Nup58	K14307	Nucleoporin 58kD
Dmel_CG3806	eIF2B-epsilon	K03240	CG3806 gene product from transcript CG3806-RB 
Dmel_CG9476	alphaTub85E	K07374	alpha-Tubulin at 85E
15697	RpS30	K02983	Ribosomal protein S30
Dmel_CG5988	upd2	K16689	unpaired 2
Dmel_CG9475	Rpt3R	K03063	Regulatory particle triple-A ATPase 3-related 
Dmel_CR33425	5SrRNA:CR33425	K01981	5S ribosomal RNA
Dmel_CG8479	Opa1	K17079	Optic atrophy 1 ortholog (H. sapiens)
Dmel_CG1669	kappaB-Ras	K17197	CG1669 gene product from transcript CG1669-RB
Dmel_CG3278	Tif-IA	K15216	CG3278 gene product from transcript CG3278-RA
Dmel_CG5313	RfC3	K10756	Replication factor C subunit 3 
11209	ppk6	K03440	pickpocket 6
Dmel_CG1664	sbr	K14284	small bristles
Dmel_CG8211	IntS2	K13139	Integrator 2
Dmel_CG8470	mRpS30	K17409	mitochondrial ribosomal protein S30
Dmel_CG8472	Cam	K02183	Calmodulin
Dmel_CG1753	Cbs	K01697	Cystathionine beta-synthase 
Dmel_CG8309	Tango7	K15030	Transport and Golgi organization 7
Dmel_CG8308	alphaTub67C	K07374	alpha-Tubulin at 67C
Dmel_CG5748	Hsf	K09418	Heat shock factor
Dmel_CR33397	5SrRNA:CR33397	K01981	5S ribosomal RNA
Dmel_CG8302	Cyp4aa1	K15001	CG8302 gene product from transcript CG8302-RB 
Dmel_CG5962	Arr2	K13805	Arrestin 2
Dmel_CG5310	nmdyn-D6	K00940	CG5310 gene product from transcript CG5310-RA 
Dmel_CG42840	d	K16677	dachs 
Dmel_CG1406	U2A	K11092	CG1406 gene product from transcript CG1406-RA
Dmel_CG32300	oxt	K00771	peptide O-xylosyltransferase 
Dmel_CG1404	Ran	K07936	CG1404 gene product from transcript CG1404-RC
Dmel_CG1403	Sep1	K16942	Septin 1
8687	Cyp6a14	K14999	CG8687 gene product from transcript CG8687-RE
Dmel_CG1401	Cul5	K10612	Cullin 5
4108	Chmp1	K12197	Charged multivesicular body protein 1
Dmel_CG5187	Doc2	K10180	Dorsocross2
Dmel_CG5184	mRpS11	K02948	mitochondrial ribosomal protein S11
Dmel_CG11466	Cyp9f2	K15003	CG11466 gene product from transcript CG11466-RA 
Dmel_CG4699	nsl1	K18400	non-specific lethal 1
Dmel_CG1854	Or43a	K08471	Odorant receptor 43a
15438	MFS18	K12303	Major Facilitator Superfamily Transporter 18
Dmel_CG6631	ana1	K16714	anastral spindle 1
Dmel_CG14934	Mal-B1	K01187	Maltase B1 
Dmel_CG14935	Mal-B2	K01187	Maltase B2 
4445	pgant3	K00710	polypeptide GalNAc transferase 3 
Dmel_CG15693	RpS20	K02969	Ribosomal protein S20
Dmel_CG9656	grn	K17894	grain
Dmel_CG33980	Vsx2	K09336	Visual system homeobox 2 ortholog
Dmel_CG9655	nes	K13515	nessy
Dmel_CG9652	Dop1R1	K04148	Dopamine 1-like receptor 1
5562	gbb	K16621	glass bottom boat
Dmel_CG43664	Su(var)3-9	K11419	Suppressor of variegation 3-9 
Dmel_CG43665	eIF-2gamma	K11419	Eukaryotic initiation factor 2gamma
Dmel_CG17498	mad2	K02537	CG17498 gene product from transcript CG17498-RA
Dmel_CG17947	alpha-Cat	K05691	alpha Catenin
Dmel_CG17941	ds	K16507	dachsous
Dmel_CR33402	5SrRNA:CR33402	K01981	5S ribosomal RNA
Dmel_CG43663	Ada2a	K03012	transcriptional Adaptor 2a 
Dmel_CG17492	mib2	K10645	mind bomb 2 
31065	ppk31	K03440	pickpocket 31
Dmel_CG9893	l(2)06496	K10425	lethal (2) 06496
Dmel_CG3195	RpL12	K02870	Ribosomal protein L12
7736	Syx6	K08498	Syntaxin 6
1258	pav	K17387	pavarotti
6437	GlcT-1	K00720	Ceramide glucosyltransferase 
Dmel_CG2508	Cdc23	K03355	Cell division cycle 23 ortholog 
3953	Invadolysin	K13539	CG3953 gene product from transcript CG3953-RA 
Dmel_CG2505	alpha-Est2	K01044	alpha-Esterase-2 
17248	nSyb	K13504	neuronal Synaptobrevin
Dmel_CG2503	atms	K15174	antimeros
Dmel_CG11254	mael	K18411	maelstrom
Dmel_CG33815	His3:CG33815	K11253	CG33815 gene product from transcript CG33815-RA
Dmel_CG5362	Mdh1	K00025	Malate dehydrogenase 1 
Dmel_CG5363	cdc2	K02087	CG5363 gene product from transcript CG5363-RA 
Dmel_CG11799	fd68A	K09404	forkhead domain 68A
Dmel_CG1318	Hexo1	K12373	Hexosaminidase 1 
Dmel_CR33403	5SrRNA:CR33403	K01981	5S ribosomal RNA
Dmel_CG4761	knrl	K08706	knirps-like
Dmel_CR33412	5SrRNA:CR33412	K01981	5S ribosomal RNA
Dmel_CR33411	5SrRNA:CR33411	K01981	5S ribosomal RNA
Dmel_CR33410	5SrRNA:CR33410	K01981	5S ribosomal RNA
Dmel_CR33417	5SrRNA:CR33417	K01981	5S ribosomal RNA
Dmel_CR33416	5SrRNA-Psi:CR33416	K01981	5S ribosomal RNA pseudogene
Dmel_CG4767	Tektin-A	K18631	Tektin A
Dmel_CR33414	5SrRNA:CR33414	K01981	5S ribosomal RNA
Dmel_CG4569	Prosalpha4T2	K02731	Proteasome alpha4 subunit, Testis-specific 2 
Dmel_CG11268	ste14	K00587	isoprenylcysteine carboxylmethyltransferase 
Dmel_CG18174	Rpn11	K03030	Regulatory particle non-ATPase 11 
Dmel_CG5081	Syx7	K08488	Syntaxin 7
Dmel_CG18176	defl	K13144	deflated
Dmel_CG34455	Pdxk	K00868	Pyridoxal kinase 
42595	uex	K16302	unextended
Dmel_CG1081	Rheb	K07208	Ras homolog enriched in brain ortholog (H. sapiens)
Dmel_CG4560	Arpc3A	K05756	Actin-related protein 2/3 complex, subunit 3A
Dmel_CG4567	ico	K02355	iconoclast
33908	His2B:CG33908	K11252	CG33908 gene product from transcript CG33908-RA
Dmel_CG11265	Trf4-1	K03514	CG11265 gene product from transcript CG11265-RE 
Dmel_CG16944	sesB	K05863	stress-sensitive B
Dmel_CG9091	RpL37a	K02922	Ribosomal protein L37a
7425	eff	K06689	effete 
Dmel_CG11246	Rpb8	K03016	CG11246 gene product from transcript CG11246-RA 
Dmel_CG34186	Rpb12	K03009	CG34186 gene product from transcript CG34186-RA 
Dmel_CG9096	CycD	K10151	Cyclin D 
Dmel_CG18243	Ptp52F	K01104	CG18243 gene product from transcript CG18243-RB 
32417	Myt1	K06633	CG32417 gene product from transcript CG32417-RA 
Dmel_CG7917	Nlp	K11278	Nucleoplasmin 
Dmel_CG15101	Jheh1	K10719	Juvenile hormone epoxide hydrolase 1 
Dmel_CR33393	5SrRNA:CR33393	K01981	5S ribosomal RNA
Dmel_CG6936	mth	K04599	methuselah
Dmel_CG8787	Asx	K11471	Additional sex combs
Dmel_CR33405	5SrRNA:CR33405	K01981	5S ribosomal RNA
Dmel_CG2212	sws	K14676	swiss cheese 
Dmel_CG3143	foxo	K09408	forkhead box, sub-group O
Dmel_CG2216	Fer1HCH	K00522	Ferritin 1 heavy chain homologue
1063	Itp-r83A	K04958	Inositol 1,4,5,-tris-phosphate receptor
4485	Cyp9b1	K15003	Cytochrome P450-9b1 
6608	Tpc1	K15108	Thiamine pyrophosphate carrier protein 1
Dmel_CG6932	CSN6	K12179	COP9 complex homolog subunit 6
Dmel_CG2219	Arl4	K07945	ADP ribosylation factor-like 4
6438	amon	K01360	amontillado 
33900	His2B:CG33900	K11252	CG33900 gene product from transcript CG33900-RA
Dmel_CG10228	Inr-a	K14400	Inverse regulator a
Dmel_CG10229	Kat60	K07767	Katanin 60 
Dmel_CG11084	pk	K04511	prickle
Dmel_CG18009	Trf2	K03120	TATA box binding protein-related factor 2
Dmel_CG5562	gbb	K16621	glass bottom boat
Dmel_CG11482	Mlh1	K08734	CG11482 gene product from transcript CG11482-RB 
Dmel_CG18005	beag	K13109	CG18005 gene product from transcript CG18005-RA
Dmel_CG15302	Or9a	K08471	Odorant receptor 9a
Dmel_CG10223	Top2	K03164	Topoisomerase 2 
11502	svp	K14032	seven up
Dmel_CG18001	RpL38	K02923	Ribosomal protein L38
Dmel_CR33406	5SrRNA:CR33406	K01981	5S ribosomal RNA
Dmel_CG11315	Npc2h	K13443	Niemann-Pick type C-2h
Dmel_CG11314	Npc2g	K13443	Niemann-Pick type C-2g
Dmel_CG8594	ClC-b	K05016	Chloride channel-b
Dmel_CG2699	Pi3K21B	K02649	CG2699 gene product from transcript CG2699-RE
Dmel_CG11642	TRAM	K14010	CG11642 gene product from transcript CG11642-RB
Dmel_CG8019	hay	K10843	haywire 
5788	UbcD10	K04552	Ubiquitin conjugating enzyme 10 
Dmel_CG11648	Abd-B	K09300	Abdominal B
Dmel_CG17183	MED30	K15143	Mediator complex subunit 30
Dmel_CG15524	Sas-6	K16487	Spindle assembly abnormal 6 ortholog (C. elegans)
5363	cdc2	K02087	CG5363 gene product from transcript CG5363-RA 
9020	Aats-arg	K01887	Arginyl-tRNA synthetase 
6778	Aats-gly	K01880	Glycyl-tRNA synthetase 
Dmel_CR33361	5SrRNA:CR33361	K01981	5S ribosomal RNA
Dmel_CG11888	Rpn2	K03032	Regulatory particle non-ATPase 2
Dmel_CG11887	Elp2	K11374	Elongator complex protein 2
Dmel_CG11886	Slbp	K18710	Stem-loop binding protein
Dmel_CG12350	lambdaTry	K01312	CG12350 gene product from transcript CG12350-RA 
Dmel_CG11881	dgt6	K16589	dim gamma-tubulin 6
Dmel_CG14617	Cp110	K16453	CG14617 gene product from transcript CG14617-RD
Dmel_CG4111	RpL35	K02918	Ribosomal protein L35
Dmel_CG12351	deltaTry	K01312	deltaTrypsin 
Dmel_CG33336	p53	K10149	CG33336 gene product from transcript CG33336-RB
Dmel_CG5410	Miro	K07870	Mitochondrial Rho
Dmel_CG33338	p38c	K04441	p38c MAP kinase 
6117	Pka-C3	K04345	cAMP-dependent protein kinase 3 
Dmel_CG11856	Nup358	K12172	Nucleoporin 358kD
12743	otu	K13718	ovarian tumor
