AT3G50670	U1-70K	K11093	U1 small nuclear ribonucleoprotein-70K
AT1G52260	PDIL1-5	K09580	protein PDI-like 1-5
AT1G01060	LHY	K12133	protein LHY
AT5G24120	SIGE	K03093	RNA polymerase sigma factor 5
AT5G42020	BIP2	K09490	Luminal-binding protein 2
AT5G09350	PI-4KBETA2	K00888	phosphatidylinositol 4-OH kinase beta2
AT1G02680	TAF13	K03127	TBP-associated factor 13
AT1G78650	POLD3	K03504	DNA polymerase delta 3
AT4G14800	PBD2	K02734	20S proteasome beta subunit D2
AT5G54840	SGP1	K07976	monomeric G protein SGP1
AT5G56680	SYNC1	K01893	asparaginyl-tRNA synthetase, cytoplasmic 1
AT5G36890	BGLU42	K01188	beta glucosidase 42
AT2G05630	ATG8D	K08341	autophagy-related protein 8d
AT1G63910	AtMYB103	K09422	myb domain protein 103
AT3G19190	ATG2	K17906	protein autophagy 2
AT1G68640	PAN	K14431	transcription factor PERIANTHIA
AT4G36250	ALDH3F1	K00128	aldehyde dehydrogenase 3F1
AT2G44180	MAP2A	K01265	methionine aminopeptidase 2A
AT3G57560	NAGK	K00930	acetylglutamate kinase
AT1G77140	VPS45	K12479	vacuolar protein sorting 45
AT4G21430	B160	K15601	protein B160
AT1G79730	ELF7	K15174	protein early flowering 7
AT2G23350	PAB4	K13126	poly(A) binding protein 4
AT3G25420	scpl21	K16296	serine carboxypeptidase-like 21
AT5G67580	TRB2	K09422	telomere repeat binding factor 2
AT1G15990	CNGC7	K05391	cyclic nucleotide gated channel 7
AT4G20370	TSF	K16223	protein TWIN SISTER of FT
AT1G66390	MYB90	K09422	transcription factor MYB90
AT3G07420	NS2	K01893	asparaginyl-tRNA synthetase 2
AT1G13440	GAPC2	K00134	glyceraldehyde 3-phosphate dehydrogenase GAPC2
AT3G24315	AtSec20	K08497	transport protein SEC20
AT5G05470	EIF2_ALPHA	K03237	translation initiation factor eIF-2 alpha subunit
AT2G27490	ATCOAE	K00859	dephospho-CoA kinase
AT3G24310	MYB305	K09422	myb domain protein 305
AT4G36070	CPK18	K13412	calcium-dependent protein kinase 18
AT3G46820	TOPP5	K06269	serine/threonine-protein phosphatase PP1 isozyme 5
AT3G07880	SCN1	K12462	Rho GDP-dissociation inhibitor 1
AT3G46040	RPS15AD	K02957	40S ribosomal protein S15a-4
AT3G11170	FAD7	K10257	fatty acid desaturase 7
AT3G51820	G4	K04040	chlorophyll synthase
AT1G49820	MTK	K00899	S-methyl-5-thioribose kinase
AT3G22420	WNK2	K08867	serine/threonine-protein kinase WNK2
AT5G50920	CLPC1	K03696	ATP-dependent Clp protease ATP-binding subunit ClpC
AT3G22425	IGPD	K01693	Imidazoleglycerol-phosphate dehydratase 1
AT4G38850	SAUR15	K14488	SAUR-like auxin-responsive protein
AT3G63440	CKX6	K00279	cytokinin oxidase/dehydrogenase 6
AT3G63190	RRF	K02838	ribosome-recycling factor
AT1G76310	CYCB2;4	K05868	cyclin-B2-4
AT2G03680	SPR1	K18635	protein SPIRAL1
AT2G18550	HB21	K09338	homeobox-leucine zipper protein ATHB-21
AT2G21730	CAD2	K00083	cinnamyl alcohol dehydrogenase 2
AT4G27470	RMA3	K10666	E3 ubiquitin-protein ligase RMA3
AT1G30500	NF-YA7	K08064	nuclear transcription factor Y subunit A-7
AT1G01460	PIPK11	K00889	phosphatidylinositol-4-phosphate 5-kinase 10
AT5G13960	SUVH4	K11420	histone-lysine N-methyltransferase, H3 lysine-9 specific SUVH4
AT4G15440	HPL1	K10528	hydroperoxide lyase 1
AT3G03740	BPM4	K10523	BTB/POZ and M4 domain-containing protein
AT3G22860	TIF3C2	K03252	eukaryotic translation initiation factor 3 subunit C2
AT1G25560	TEM1	K09287	AP2/ERF and B3 domain-containing transcription repressor TEM1
AT1G59500	GH3.4	K14487	indole-3-acetic acid-amido synthetase GH3.4
AT3G43920	DCL3	K11592	endoribonuclease Dicer-like 3
AT1G55490	CPN60B	K04077	chaperonin 60 subunit beta 1
AT4G23710	VAG2	K02152	V-type proton ATPase subunit G2
AT5G17920	ATMS1	K00549	5-methyltetrahydropteroyltriglutamate--homocysteine methyltransferase
AT3G25730	EDF3	K09287	ethylene response DNA binding factor 3
AT2G21710	EMB2219	K15032	protein EMBRYO DEFECTIVE 2219
AT4G00020	BRCA2(IV)	K08775	breast cancer protein 2 like 2A
AT1G02860	NLA	K16275	E3 ubiquitin-protein ligase BAH1
AT1G13060	PBE1	K02737	20S proteasome beta subunit E1
AT3G04770	RPSAb	K02998	40S ribosomal protein Sa-2
AT1G55810	UKL3	K00876	uridine kinase-like protein 3
AT1G29920	CAB2	K08912	chlorophyll A/B-binding protein 2
AT1G12220	RPS5	K13460	disease resistance protein RPS5
AT3G54670	TTN8	K06636	structural maintenance of chromosomes 1
AT5G61790	CNX1	K08054	calnexin 1
AT5G11920	cwINV6	K01193	beta-fructofuranosidase, insoluble isoenzyme CWINV6
AT1G06820	CRTISO	K09835	carotenoid isomerase
AT5G60660	PIP2;4	K09872	putative aquaporin PIP2-4
AT5G47770	FPS1	K00787	farnesyl diphosphate synthase 1
AT1G59820	ALA3	K14802	phospholipid-transporting ATPase 3
AT2G22240	MIPS2	K01858	myo-inositol-1-phosphate synthase 2
ArthMr003	rrn18	K01979	18S ribosomal RNA
ArthMr002	rrn5	K01981	5S ribosomal RNA
AT3G51480	GLR3.6	K05387	glutamate receptor 3.6
AT1G43890	RAB18	K07910	Ras-related protein Rab-18
AT3G61450	SYP73	K08506	syntaxin-73
AT2G38810	HTA8	K11251	histone H2A 8
AT4G36990	HSF4	K09419	heat stress transcription factor B-1
AT4G19030	NLM1	K09874	aquaporin NIP1-1
AT5G59870	HTA6	K11251	histone H2A 6
AT1G54140	TAFII21	K03133	TATA binding protein associated factor subunit 21
AT4G30890	UBP24	K11841	ubiquitin carboxyl-terminal hydrolase 24
AT1G27140	GSTU14	K00799	glutathione S-transferase tau 14
AT1G75950	SKP1	K03094	S-phase kinase-associated protein 1
AT3G18000	XPL1	K05929	phosphoethanolamine N-methyltransferase 1
AT1G74380	XXT5	K08238	xyloglucan xylosyltransferase 5
AT1G51260	LPAT3	K13523	1-acyl-sn-glycerol-3-phosphate acyltransferase 3
AT5G47820	FRA1	K10395	kinesin-like protein FRA1
AT1G49160	WNK7	K08867	putative serine/threonine-protein kinase WNK7
AT1G78870	UBC35	K10580	ubiquitin-conjugating enzyme E2 35
AT5G01310	APTX	K10863	adenylylsulfate sulfohydrolase
AT1G59730	TH7	K03671	thioredoxin H7
AT2G20530	PHB6	K17081	prohibitin 6
AT5G40770	PHB3	K17080	prohibitin 3
AT5G20240	PI	K09264	Floral homeotic protein PISTILLATA
AT2G47460	MYB12	K09422	transcription factor MYB12
AT5G45260	RRS1	K16225	disease resistance protein RRS1
AT4G24520	ATR1	K00327	NADPH--cytochrome P450 reductase 1
AT1G49430	LACS2	K01897	long-chain acyl-CoA synthetase 2
AT5G54640	RAT5	K11251	histone H2A 1
AT1G49340	ATPI4K_ALPHA	K00888	phosphatidylinositol 4-kinase alpha
AT2G24765	ARF3	K07942	ADP-ribosylation factor 3
AT5G44070	CAD1	K05941	glutathione gamma-glutamylcysteinyltransferase 1
AT3G09660	MCM8	K10737	minichromosome maintenance 8
AT1G55920	SERAT2;1	K00640	serine acetyltransferase 1
AT5G55080	RAN4	K07936	GTP-binding nuclear protein Ran-4
AT4G14660	NRPE7	K16253	DNA-directed RNA polymerase V subunit NRPE7
AT4G17750	HSF1	K09419	heat stress transcription factor A-1a
AT5G05690	CPD	K09588	cytochrome P450 90A1
AT1G74970	RPS9	K02996	30S ribosomal protein S9
AT4G21940	CPK15	K13412	calcium-dependent protein kinase 15
AT5G43080	CYCA3;1	K06627	cyclin A3-1
AT1G16980	TPS2	K16055	trehalose-phosphatase/synthase 2
AT1G08200	AXS2	K12449	UDP-D-apiose/UDP-D-xylose synthase 2
AT2G26540	HEMD	K01719	Uroporphyrinogen-III synthase
AT2G02820	MYB88	K09422	myb domain protein 88
AT1G26840	ORC6	K02608	origin recognition complex subunit 6
AT1G79650	RAD23B	K10839	ubiquitin receptor RAD23b
AT4G29340	PRF4	K05759	profilin 4
AT3G05480	RAD9	K10994	DNA damage repair protein RAD9
AT1G31280	AGO2	K11593	argonaute 2
AT2G38960	ERO2	K10950	endoplasmic oxidoreductin-2
AT4G29160	SNF7.1	K12194	vacuolar protein sorting-associated protein 32-2
AT3G27170	CLC-B	K05016	chloride channel protein CLC-b
AT2G27150	AAO3	K09842	abscisic-aldehyde oxidase
AT4G27650	PEL1	K06965	protein PELOTA
AT5G57560	TCH4	K14504	xyloglucan endotransglucosylase/hydrolase protein 22
AT5G41910	MED10A	K15151	Mediator complex, subunit Med10
AT3G01120	MTO1	K01739	cystathionine gamma-synthase
AT5G07690	MYB29	K09422	myb domain protein 29
AT1G65440	GTB1	K11292	transcription elongation factor SPT6-like protein
AT5G63840	RSW3	K05546	alpha 1,3-glucosidase
AT3G21160	MNS2	K01230	mannosyl-oligosaccharide 1,2-alpha-mannosidase
AT3G06400	CHR11	K11654	chromatin-remodeling protein 11
AT4G29210	GGT4	K18592	gamma-glutamyl transpeptidase 4
AT2G36880	MAT3	K00789	S-adenosylmethionine synthase 3
AT5G64760	RPN5B	K03035	26S proteasome regulatory particle non-ATPase subunit 5B
AT2G40300	FER4	K00522	ferritin 4
AT2G24490	RPA2	K10739	replicon protein A2
AT5G37600	GSR_1	K01915	glutamine synthetase 1;1
AT1G11750	CLPP6	K01358	ATP-dependent Clp protease proteolytic subunit 6
ArthCp064	rpl2	K02886	50S ribosomal protein L2
AT1G79530	GAPCP-1	K00134	glyceraldehyde-3-phosphate dehydrogenase GAPCP1
AT5G44210	ERF9	K09286	ethylene-responsive transcription factor 9
ArthCp018	psbC	K02705	PSII 43 kDa protein
ArthCp019	psbZ	K02724	photosystem II reaction center Z protein
ArthCp016	psbM	K02714	photosystem II protein M
ArthCp017	psbD	K02706	photosystem II protein D2
ArthCp014	rpoB	K03043	RNA polymerase beta chain
ArthCp015	petN	K03689	cytochrome b6/f complex subunit N
ArthCp012	rpoC2	K03046	RNA polymerase beta'' chain
ArthCp013	rpoC1	K03046	RNA polymerase beta' chain
ArthCp010	atpI	K02108	ATPase IV subunit
ArthCp011	rps2	K02967	30S ribosomal protein S2
AT2G13560	NAD-ME1	K00028	NAD-dependent malic enzyme 1
AT2G32410	AXL	K04532	AXR1-like protein
AT5G23880	CPSF100	K14402	cleavage and polyadenylation specificity factor 100
AT4G37670	NAGS2	K14682	N-acetyl-l-glutamate synthase 2
AT2G25700	SK3	K03094	putative E3 ubiquitin ligase ASK3
AT4G31920	RR10	K14491	two-component response regulator ARR10
AT1G03130	PSAD-2	K02692	photosystem I reaction center subunit D-2
AT1G69940	PPME1	K01051	pectinesterase PPME1
AT5G42300	UBL5	K13113	ubiquitin-like protein 5
AT1G65840	PAO4	K17839	polyamine oxidase 4
AT4G13300	TPS13	K15795	(Z)-gamma-bisabolene synthase 2
AT5G59520	ZIP2	K14709	zinc transporter 2
AT5G20480	EFR	K13428	LRR receptor-like serine/threonine-protein kinase EFR
AT5G13280	AK-LYS1	K00928	aspartokinase 1
AT4G18620	PYL13	K14496	abscisic acid receptor PYL13
AT5G40280	ERA1	K05954	farnesyltransferase subunit beta
AT1G09240	NAS3	K05953	nicotianamine synthase 3
AT5G61420	MYB28	K09422	transcription factor MYB28
AT1G23490	ARF1	K07937	ADP-ribosylation factor 1
AT5G58690	PLC5	K05857	phosphoinositide phospholipase C 5
AT3G61140	FUS6	K12175	COP9 signalosome complex subunit 1
AT1G10370	ERD9	K00799	glutathione S-transferase U17
AT5G47010	LBA1	K14326	Regulator of nonsense transcripts 1-like protein
AT1G23870	TPS9	K16055	putative alpha,alpha-trehalose-phosphate synthase [UDP-forming] 9
AT3G58990	IPMI1	K01704	isopropylmalate isomerase 1
AT4G13940	MEE58	K01251	adenosylhomocysteinase 1
AT1G06410	TPS7	K16055	putative alpha,alpha-trehalose-phosphate synthase [UDP-forming] 7
AT3G14290	PAE2	K02729	20S proteasome alpha subunit E2
AT3G01470	HB-1	K09338	homeobox-leucine zipper protein HAT5
AT2G40670	RR16	K14492	two-component response regulator ARR16
AT4G24620	PGI1	K01810	phosphoglucose isomerase 1
AT1G10570	OTS2	K16287	ubiquitin-like-specific protease 1C
AT1G01480	ACS2	K01762	1-aminocyclopropane-1-carboxylate synthase 2
AT3G06580	GALK	K18674	galactokinase
AT3G21500	DXPS1	K01662	1-deoxy-D-xylulose 5-phosphate synthase 1
AT1G06780	GAUT6	K13648	probable galacturonosyltransferase 6
AT5G20930	TSL	K08864	serine/threonine-protein kinase TOUSLED
AT3G46520	ACT12	K10355	actin-12
AT5G48375	TGG3	K01237	thioglucoside glucosidase 3
AT4G33200	XI-I	K10357	myosin-15
AT4G34250	KCS16	K15397	3-ketoacyl-CoA synthase 16
AT2G01420	PIN4	K13947	auxin efflux carrier component 4
AT2G26710	BAS1	K15639	cytochrome P450 734A1
AT5G62690	TUB2	K07375	tubulin beta-2/beta-3 chain
AT3G20740	FIE	K11462	polycomb group protein FERTILIZATION-INDEPENDENT ENDOSPERM
AT1G70310	SPDS2	K00797	Spermidine synthase 2
AT4G21760	BGLU47	K05350	beta-glucosidase 47
AT4G04955	ALN	K01466	allantoinase
AT3G26030	ATB'_DELTA	K11584	serine/threonine protein phosphatase 2A B'55 delta
AT5G02150	Fes1C	K09562	protein Fes1C
AT1G10970	ZIP4	K14709	zinc transporter 4 precursor
AT5G13910	LEP	K09286	ethylene-responsive transcription factor LEP
AT1G80070	SUS2	K12856	putative splicing factor Prp8
AT5G26570	ATGWD3	K15535	phosphoglucan, water dikinase
AT4G39660	AGT2	K00827	alanine:glyoxylate aminotransferase 2
AT4G39910	UBP3	K11842	ubiquitin-specific protease 3
AT5G14740	CA2	K01673	carbonic anhydrase 2
AT5G23010	MAM1	K15741	methylthioalkylmalate synthase 1
AT2G43840	UGT74F1	K13691	UDP-glycosyltransferase 74 F1
AT1G65060	4CL3	K01904	4-coumarate--CoA ligase 3
AT2G35060	KUP11	K03549	potassium transporter 11
AT5G19660	S1P	K08653	SITE-1 protease
AT5G12390	FIS1B	K17969	hypothetical protein
AT1G71800	CSTF64	K14407	cleavage stimulating factor 64
AT4G05390	RFNR1	K02641	ferredoxin--NADP reductase, root isozyme 1
AT5G62320	MYB99	K09422	myb domain protein 99
AT3G13300	VCS	K12616	mRNA decapping complex VCS
AT5G08160	PK3	K08856	serine/threonine protein kinase 3
AT2G12480	SCPL43	K16297	serine carboxypeptidase-like 43
AT1G78300	GRF2	K06630	14-3-3-like protein GF14 omega
AT2G29380	HAI3	K14497	highly ABA-induced PP2C protein 3
AT5G54060	UF3GT	K17193	anthocyanidin 3-O-glucoside 2'''-O-xylosyltransferase
AT4G24670	TAR2	K16903	tryptophan aminotransferase related 2
AT1G20090	ROP2	K04392	Rac-like GTP-binding protein ARAC4
AT2G25170	PKL	K11643	CHD3-type chromatin-remodeling factor PICKLE
AT5G15540	EMB2773	K06672	sister-chromatid cohesion protein 2
AT1G07890	APX1	K00434	L-ascorbate peroxidase 1
AT5G38630	CYB-1	K08360	probable transmembrane ascorbate ferrireductase 2
AT4G28580	MGT5	K16075	magnesium transporter 5
AT2G34490	CYP710A2	K09832	cytochrome P450 710A2
AT4G35230	BSK1	K14500	BR-signaling kinase 1
AT5G33320	CUE1	K15283	phosphoenolpyruvate/phosphate translocator 1
AT1G07780	PAI1	K01817	phosphoribosylanthranilate isomerase
AT4G13430	IIL1	K01703	3-isopropylmalate dehydratase
AT5G43010	RPT4A	K03064	26S proteasome AAA-ATPase subunit RPT4a
AT4G21160	ZAC	K12486	ADP-ribosylation factor GTPase-activating protein AGD12
AT1G31180	IMD3	K00052	3-isopropylmalate dehydrogenase 1
AT3G52940	FK	K00222	delta(14)-sterol reductase
AT1G17920	HDG12	K09338	homeobox-leucine zipper protein HDG12
AT4G39000	GH9B17	K01179	glycosyl hydrolase 9B17
AT5G26880	AGL26	K03216	protein AGAMOUS-LIKE 26
AT2G38770	EMB2765	K12874	embryo defective 2765
AT5G18620	CHR17	K11654	chromatin remodeling factor17
AT1G17290	AlaAT1	K00814	alanine aminotransferase
AT1G76300	SmD3	K11088	snRNP core protein SMD3
AT2G21470	SAE2	K10685	SUMO-activating enzyme subunit 2
AT3G11050	FER2	K00522	ferritin 2
AT3G46030	HTB11	K11252	histone HTB11
AT5G57160	ATLIG4	K10777	DNA ligase 4
AT5G41340	UBC4	K06689	ubiquitin-conjugating enzyme E2 4
AT5G53460	GLT1	K00264	glutamate synthase 1 [NADH]
AT4G28630	ATM1	K05663	ABC transporter B family member 23
AT2G29490	GSTU1	K00799	glutathione S-transferase tau 1
AT4G25420	GA20OX1	K05282	gibberellin 20 oxidase 1
AT2G28650	EXO70H8	K07195	exocyst subunit exo70 family protein H8
AT3G53620	PPa4	K01507	pyrophosphorylase 4
AT3G17360	POK1	K10400	phragmoplast orienting kinesin 1
AT1G21430	YUC11	K11816	putative flavin-containing monooxygenase YUCCA11
AT1G61630	ENT7	K15014	equilibrative nucleoside transporter 7
AT2G30490	C4H	K00487	trans-cinnamate 4-monooxygenase
AT1G79000	HAC1	K04498	histone acetyltransferase HAC1
AT2G39770	CYT1	K00966	GDP-mannose pyrophosphorylase/ mannose-1-pyrophosphatase
AT4G39460	SAMC1	K15111	S-adenosylmethionine carrier 1
AT2G31780	ARI11	K11968	putative E3 ubiquitin-protein ligase ARI11
AT2G13680	CALS5	K11000	callose synthase 5
AT3G48470	EMB2423	K11137	protein embryo defective 2423
AT5G02790	GSTL3	K00799	glutathione S-transferase L3
AT4G34740	ASE2	K00764	glutamine 5-phosphoribosylpyrophosphate amidotransferase
AT5G20830	SUS1	K00695	sucrose synthase 1
AT1G15690	AVP1	K01507	Pyrophosphate-energized vacuolar membrane proton pump 1
AT3G48870	HSP93-III	K03696	Clp ATPase
ArthMp098	atp6-2	K02126	ATPase subunit 6
AT5G49330	MYB111	K09422	myb domain protein 111
AT5G49620	MYB78	K09422	myb domain protein 78
ArthMp094	atp9	K02128	ATPase subunit 9
AT4G39710	FKBP16-2	K01802	FK506-binding protein 16-2
AT1G27630	CYCT1;3	K15188	cyclin-T1-3
AT3G62720	XT1	K08238	xyloglucan 6-xylosyltransferase
AT2G36790	UGT73C6	K13496	UDP-glucosyl transferase 73C6
AT4G01250	WRKY22	K13425	WRKY transcription factor 22
AT5G28840	GME	K10046	GDP-mannose 3,5-epimerase
AT5G56760	SERAT1;1	K00640	serine acetyltransferase 1;1
AT3G44310	NIT1	K01501	nitrilase 1
<a	href="/dbget-bin/www_bget?ath:AT3G56950">AT3G56950</a>	<a	SIP2;1
AT4G36800	RCE1	K10579	RUB1 conjugating enzyme 1
AT1G22150	SULTR1;3	K17470	sulfate transporter 1.3
AT1G69670	CUL3B	K03869	cullin 3B
AT5G66190	FNR1	K02641	ferredoxin-NADP(+)-oxidoreductase 1
AT5G22410	RHS18	K00430	peroxidase 60
AT3G10960	AZG1	K06901	adenine/guanine permease AZG1
AT2G45280	RAD51C	K10870	DNA repair protein RAD51 homolog 3
AT2G15430	NRPB3	K03011	DNA-directed RNA polymerase II subunit RPB3-A
AT4G04040	MEE51	K00895	pyrophosphate--fructose-6-phosphate 1-phosphotransferase
AT5G09690	MGT7	K16075	magnesium transporter MRS2-7
AT2G01290	RPI2	K01807	ribose 5-phosphate isomerase A
AT3G48780	SPT1	K00654	serine palmitoyltransferase 1
AT5G08740	NDC1	K17872	NAD(P)H dehydrogenase C1
AT1G61290	SYP124	K08486	syntaxin-124
AT5G49020	PRMT4A	K05931	protein arginine methyltransferase 4A
AT1G61520	LHCA3	K08909	PSI type III chlorophyll a/b-binding protein
AT3G11410	PP2CA	K14497	protein phosphatase 2CA
AT3G43440	JAZ11	K13464	protein TIFY 3A
AT1G73730	EIL3	K14514	ethylene insensitive 3-like 3 protein
AT3G08510	PLC2	K05857	phosphoinositide phospholipase C 2
AT1G58180	BCA6	K01673	beta carbonic anhydrase 6
AT2G21150	XCT	K13119	protein XAP5 CIRCADIAN TIMEKEEPER
AT1G72750	TIM23-2	K17794	translocase inner membrane subunit 23-2
AT5G46210	CUL4	K10609	cullin4
AT5G46740	UBP21	K11855	ubiquitin-specific protease 21
AT3G16500	PAP1	K14484	phytochrome-associated protein 1
AT3G22630	PBD1	K02734	20S proteasome beta subunit D1
AT1G78660	GGH1	K01307	gamma-glutamyl hydrolase 1
AT5G43500	ARP9	K11673	actin-related protein 9
AT3G45130	LAS1	K01852	lanosterol synthase 1
AT1G69720	HO3	K00510	heme oxygenase 3
AT3G61620	RRP41	K11600	exonuclease RRP41
AT3G62030	ROC4	K03768	peptidyl-prolyl cis-trans isomerase CYP20-3
AT4G19490	VPS54	K17600	protein VPS54
AT5G66680	DGL1	K12670	dolichyl-diphosphooligosaccharide-protein glycosyltransferase subunit
AT5G44560	VPS2.2	K12191	vacuolar protein sorting-associated protein 2-2
AT3G58500	PP2A-4	K04382	serine/threonine-protein phosphatase PP2A-3 catalytic subunit
AT2G41070	EEL	K14432	ABI5-like transcription factor EEL
AT3G29160	KIN11	K07198	SNF1-related protein kinase catalytic subunit alpha KIN11
AT1G33390	FAS4	K14780	protein FASCIATED STEM 4
AT3G07490	AGD11	K13448	calmodulin-like protein 3
AT1G61820	BGLU46	K05350	beta glucosidase 46
AT1G48000	MYB112	K09422	myb domain protein 112
AT3G02110	scpl25	K16297	serine carboxypeptidase-like 25
AT3G18850	LPAT5	K13513	lysophosphatidyl acyltransferase 5
AT4G20360	RABE1b	K02358	RAB GTPase homolog E1b
AT5G66760	SDH1-1	K00234	succinate dehydrogenase [ubiquinone] flavoprotein subunit 1
AT5G10000	FD4	K02639	ferredoxin 4
AT2G47750	GH3.9	K14487	putative indole-3-acetic acid-amido synthetase GH3.9
AT4G30950	FAD6	K10255	omega-6 fatty acid desaturase
AT5G05440	PYL5	K14496	abscisic acid receptor PYL5
AT2G44150	ASHH3	K11423	histone-lysine N-methyltransferase ASHH3
AT1G14700	PAP3	K01078	purple acid phosphatase 3
AT1G59580	MPK2	K04371	mitogen-activated protein kinase 2
AT3G23100	XRCC4	K10886	DNA repair protein XRCC4-like protein
AT4G33680	AGD2	K10206	LL-diaminopimelate aminotransferase
AT2G17870	CSP3	K09250	cold shock domain protein 3
AT2G46020	BRM	K11647	ATP-dependent helicase BRAHMA
AT2G26150	HSFA2	K09419	heat stress transcription factor A-2
AT1G51740	SYP81	K08492	syntaxin-81
AT4G11370	RHA1A	K16281	RING-H2 zinc finger protein RHA1a
AT5G56340	ATCRT1	K11982	protein ATCRT1
AT1G09100	RPT5B	K03065	26S proteasome AAA-ATPase subunit RPT5B
AT5G46360	KCO3	K05389	calcium-activated outward-rectifying potassium channel 3
AT5G09230	SRT2	K11414	sirtuin 2
AT1G44900	MCM2	K02540	minichromosome maintenance protein 2
AT2G30950	VAR2	K03798	ATP-dependent zinc metalloprotease FTSH 2
AT1G35620	PDIL5-2	K09580	protein disulfide isomerase 5-2
AT1G02780	emb2386	K02885	60S ribosomal protein L19-1
AT2G04660	APC2	K03349	anaphase-promoting complex subunit 2
AT3G29090	PME31	K01051	atypical pectin methylesterase
AT5G56180	ARP8	K16616	actin-related protein 8
AT1G18370	HIK	K11498	kinesin HINKEL
AT3G27580	ATPK7	K08286	serine/threonine-protein kinase AtPK7
AT5G39510	SGR4	K08493	vesicle transport v-SNARE 11
AT5G27620	CYCH;1	K06634	cyclin H;1
AT4G27260	WES1	K14487	indole-3-acetic acid-amido synthetase GH3.5
AT1G17000	TPS3	K16055	trehalose-6-phosphatase synthase S3
AT1G48910	YUC10	K11816	flavin-containing monooxygenase YUCCA10
AT4G24280	cpHsc70-1	K03283	chloroplast heat shock protein 70-1
AT1G22640	MYB3	K09422	transcription factor MYB3
AT2G47990	SWA1	K14549	transducin family nucleolar protein with WD40 repeats
AT1G48175	emb2191	K15441	tRNA adenosine deaminase 1
AT5G63650	SNRK2.5	K14498	serine/threonine-protein kinase SRK2H
AT2G21890	CAD3	K00083	cinnamyl alcohol dehydrogenase-like protein 3
AT5G17710	EMB1241	K03687	embryo defective 1241
AT5G64350	FKBP12	K01802	peptidyl-prolyl isomerase FKBP12
AT1G20610	CYCB2;3	K05868	cyclin-B2-3
AT3G20000	TOM40	K11518	mitochondrial import receptor subunit TOM40-1
AT1G32750	HAF01	K03125	histone acetyltransferase of the CBP family 13
AT1G29910	CAB3	K08912	chlorophyll A/B binding protein 3
AT5G54770	THI1	K03146	thiazole biosynthetic enzyme
AT2G22250	AAT	K15849	aspartate aminotransferase
AT3G60880	DHDPS1	K01714	dihydrodipicolinate synthase 1
AT2G31970	RAD50	K10866	DNA repair protein RAD50
AT3G13790	ATBFRUCT1	K01193	beta-fructofuranosidase, insoluble isoenzyme CWINV1
AT5G63870	PP7	K15423	serine/threonine-protein phosphatase 7
AT3G09640	APX2	K00434	L-ascorbate peroxidase 2
